word,description
Tokenisation,"Rendre l’argent intangible, illisible, et plus facilement volable."
Hedge fund,"Un casino de luxe où tu mises l'argent des autres pour ramasser les gains perso."
Robo-advisor,"Un algo qui suit BFM Business avec 15 minutes de retard."
DeFi,"La liberté de te faire arnaquer sans banque pour t'aider à te plaindre."
Alpha,"Un mythe entretenu pour justifier les frais de gestion faramineux."
Yield farming,"Cultiver de l’espoir sur un terrain glissant rempli de promesses creuses."
ESG investing,"Faire du capitalisme éthique, en plantant un arbre pour chaque mine de lithium ouverte."
Quantitative easing,"L’art de sauver l’économie avec une imprimante et des doigts croisés."
Volatility,"Quand la bourse fait du roller coaster et que ton portefeuille vomit."
Risk-adjusted return,"Un terme chic pour 'on a foiré, mais pas autant que les autres'."
NFT,"Posséder une image de singe en basse def pendant que ta banque rigole."
Liquidity,"Un mirage qui disparaît dès que tu veux vendre."
SPAC,"Une coquille vide remplie de promesses que même ta grand-mère ne croirait pas."
Fiscal cliff,"Une falaise imaginaire inventée pour faire paniquer les journalistes."
Market correction,"Un effondrement soudain qu’on te vend comme une opportunité à saisir (vite !)."
Staking,"Geler ton argent dans un contrat foireux pour quelques miettes numériques."
Flash crash,"Quand ton épargne fond plus vite qu’une glace au soleil, en direct sur Bloomberg."
Rehypothecation,"Prêter un actif 12 fois pour voir ce que ça donne. (spoiler: une crise)"
Collateralized debt,"Transformer de la dette en or... jusqu’à ce que tout s’effondre."
Leverage,"Doubler les gains imaginaires, et tripler les pertes réelles."
Subprime,"Léguer des crédits pourris à des gens naïfs et sabrer le champagne avant le crash."
