word,description
Cloud-native,"Construire une appli tellement dépendante du cloud que si AWS éternue, tout ton système s'effondre."
DevOps,"Faire collaborer des devs et des ops qui s’ignorent cordialement sauf quand ça plante."
Agile,"Se réunir tous les jours pour ne rien livrer, mais avec des post-its de couleur."
Microservices,"Multiplier les emmerdes en les dispersant sur 50 services que personne ne comprend."
AI-powered,"Mettre un if sur un dataset Excel et appeler ça une révolution cognitive."
No-code,"Donner le pouvoir de créer des horreurs fonctionnelles à ceux qui ont raté leur formation Canva."
Blockchain,"Un cauchemar énergétique pour valider une image de singe pixellisé."
Quantum computing,"Un fantasme de CTO qui pense qu’un qubit va sauver son backend spaghetti."
Serverless,"Tu sais pas où ça tourne, tu sais juste que ça coûte un rein."
CI/CD,"Livrer en prod tous les bugs plus vite que ton cerveau peut dire 'rollback'."
Web3,"Décentraliser tout, sauf les arnaques centralisées autour de trois influenceurs."
Big Data,"Stocker des téraoctets d’infos inutiles qu’on ne saura jamais exploiter."
Edge computing,"L’art de planter des serveurs dans des coins paumés pour y perdre les logs."
5G-ready,"Compatible avec un futur où ton app sera toujours lente, mais avec du buzz."
Responsive,"Un site qui s'adapte à tout sauf aux attentes des utilisateurs."
Tech debt,"Du code pourri qu’on empile en priant pour ne jamais devoir le relire."
UX,"Faire croire à une bonne expérience en rendant l'utilisateur captif."
Fullstack,"Faire tout mal, mais assez vite pour impressionner les RH."
Observability,"Assister à l’agonie d’un service avec de beaux graphes inutiles."
IaC,"Automatiser ton chaos pour le rendre reproductible."
Legacy,"Du code écrit par un dev mystique qui a quitté l’entreprise juste après le push."
Shadow IT,"Des outils pirates installés parce que ton SI est un enfer bureaucratique."
Low-code,"Quand tu crois coder sans coder, mais que tu passes ta vie à contourner les bugs du builder."
Scrum master,"Coach de productivité qui ne code pas mais te harcèle pour un daily à 9h précises."
Vibe code,"Du code qu’on ne comprend pas mais qui 'passe bien' en review."
Production-ready,"Devient instable dès qu’on appuie sur ‘deploy’."
Reboot stratégique,"Éteindre et rallumer le projet en espérant un miracle."
