word,description
Java,"Utilisé par ceux qui aiment la souffrance en POO, les IDE lourds et les frameworks qui prennent 8 Go de RAM pour afficher 'Hello World'."
Python,"Langage préféré des pseudo-data scientists qui font des scripts moches dans des notebooks et se prennent pour des chercheurs IA."
JavaScript,"Un langage pour devs front qui pensent que manipuler le DOM fait d’eux des ingénieurs logiciel."
PHP,"Le choix naturel de ceux qui codent à l’instinct, dans la panique, et sans honte aucune. Chaque fichier est une surprise."
C++,"Réservé aux puristes toxiques qui pensent qu’un segfault est un rite de passage spirituel."
C,"Pour les boomers du code qui refusent d’admettre que malloc() c’est fini depuis 1990."
Rust,"Langage parfait pour les développeurs qui veulent te faire la morale sur la 'safety' pendant que leur app freeze."
Go,"Adoré par ceux qui ne veulent pas réfléchir mais adorent dire 'ça compile vite'."
Ruby,"Langage mort adoré par les devs hipsters qui codent encore sur un MacBook de 2012 et font des talks inutiles."
Perl,"Utilisé uniquement par des vétérans grincheux qui veulent rendre leur code impossible à reprendre. Volontairement."
Swift,"Adopté par des devs Apple trop occupés à lutter contre les updates de Xcode pour produire quoi que ce soit."
Kotlin,"Le langage parfait pour faire croire que t’es moderne alors que tu bosses toujours sur du legacy Java de 2008."
Scala,"Pour les snobs fonctionnels qui écrivent 20 lignes pour mapper une liste, et qui trouvent ça 'élégant'."
TypeScript,"L’illusion de sécurité pour les devs JS qui découvrent les types comme on découvre l’électricité dans une grotte."
Bash,"Un enfer textuel où tout fonctionne par magie jusqu’au jour où ça détruit ton disque dur sans raison."
Assembly,"Pour les sociopathes qui veulent souffrir et faire souffrir tout en se sentant supérieurs."
Haskell,"Le langage préféré des devs qui ne livrent jamais rien mais écrivent des articles Medium très profonds."
Elixir,"Populaire chez les amateurs d’exotisme qui aiment dire 'concurrentiel' sans jamais l’avoir prouvé en prod."
Dart,"Choisi par défaut quand t’es trop lâche pour faire du natif et trop pauvre pour acheter un iPhone."
Lisp,"Une secte de développeurs persuadés que les parenthèses résoudront la conscience humaine."
